age,income,children,housing,transport
21,1856,0,rent,bus
69,6143,0,villa,car
44,4022,2,own,car
60,6538,1,own,car
23,2499,0,rent,bike
56,5908,2,villa,taxi
37,3147,1,rent,car
43,3652,2,own,car
38,2891,2,own,car
19,1975,1,shared,bike
22,1747,0,shared,bus
22,2215,1,shared,bike
56,5295,0,own,car
24,1459,1,shared,bike
25,1385,0,shared,bike
27,1276,1,shared,bike
54,6481,2,villa,car
53,5996,0,villa,car
62,6737,0,own,taxi
25,2082,0,rent,bike
28,2337,1,shared,bike
20,1510,0,shared,bike
37,3867,1,own,bus
42,2918,2,own,bus
42,3092,2,own,car
24,1343,0,rent,bus
64,6029,0,villa,car
45,3995,2,rent,bus
44,4198,1,own,bus
24,1955,0,rent,bike
47,3662,1,own,car
25,1252,0,rent,bike
68,6097,1,villa,taxi
21,2437,1,shared,bike
43,4380,1,own,car
28,1805,1,shared,bike
62,6163,2,own,taxi
62,6319,2,villa,taxi
44,3020,2,rent,car
53,5863,2,villa,car
28,1021,0,shared,bike
45,4362,1,rent,car
22,1699,1,rent,bike
68,5900,1,villa,taxi
33,2564,1,own,bus
20,2184,0,rent,bike
56,5854,1,villa,car
25,1474,0,shared,bike
42,3586,1,rent,car
66,5551,0,own,taxi
